,,,,,,,,,,,,,,,,,,,,,
102-29173-2024,08/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BURJ KHALIFA,Unit,Flat,4801500.00,173.16,173.16,3 B/R,2,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,Imperial Avenue
102-29174-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Marsa Dubai,Unit,Flat,3818888.00,85.43,85.43,1 B/R,1,,,,1,1,,Bluewaters Bay
102-29175-2024,08/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Wadi Al Safa 5,Building,Villa,2768168.00,168.00,168.00,3 B/R,,,,,1,1,,Haven By Aldar 3
102-29176-2024,08/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Wadi Al Safa 5,Building,Villa,3493201.00,252.00,252.00,4 B/R,,,,,1,1,,Haven By Aldar 3
102-29177-2024,08/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Wadi Al Safa 5,Building,Villa,2768542.00,168.00,168.00,3 B/R,,,,,1,1,,Haven By Aldar 3
102-29178-2024,08/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Wadi Al Safa 5,Building,Villa,2905311.00,168.00,168.00,3 B/R,,,,,1,1,,Haven By Aldar 3
102-29179-2024,08/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Wadi Al Safa 5,Building,Villa,2768542.00,168.00,168.00,3 B/R,,,,,1,1,,Haven By Aldar 3
102-2918-2024,16/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BUSINESS BAY,Unit,Flat,1139000.00,57.43,57.43,1 B/R,1,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,The EDGE
102-29180-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BURJ KHALIFA,Unit,Flat,2050000.00,84.80,84.80,1 B/R,1,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,Imperial Avenue
102-29181-2024,08/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Wadi Al Safa 5,Building,Villa,2768542.00,168.00,168.00,3 B/R,,,,,2,1,,Haven By Aldar 3
102-29182-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Madinat Dubai Almelaheyah,Unit,Flat,1798190.00,74.85,74.85,1 B/R,1,,,,1,1,,Ocean Point
102-29183-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH LAKES TOWERS,Unit,Flat,590000.00,36.03,36.03,Studio,1,Damac Properties,Marina Mall,Burj Al Arab,1,1,,SEVEN CITY JLT
102-29184-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MEYDAN ONE,Unit,Flat,900000.00,53.15,53.44,1 B/R,B1-50,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,1,1,,Azizi Riviera 20
102-29185-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Madinat Dubai Almelaheyah,Unit,Flat,1757030.00,73.26,73.26,1 B/R,1,,,,1,1,,Ocean Point
102-29186-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Madinat Dubai Almelaheyah,Unit,Flat,3355410.00,149.38,149.38,3 B/R,2,,,,1,1,,Ocean Point
102-29187-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH LAKES TOWERS,Unit,Flat,650000.00,35.83,35.83,Studio,1,Damac Properties,Marina Mall,Burj Al Arab,2,2,,SEVEN CITY JLT
102-29188-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Madinat Dubai Almelaheyah,Unit,Flat,2452830.00,118.31,118.31,2 B/R,1,,,,1,1,,Ocean Point
102-29189-2024,08/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Wadi Al Safa 5,Building,Villa,2776430.00,174.81,174.81,3 B/R,,,,,1,1,,Haven By Aldar 3
102-2919-2024,16/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI MARITIME CITY,Unit,Flat,1528000.00,60.50,60.50,1 B/R,1,,,,1,1,,Nautica One
102-29190-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Madinat Dubai Almelaheyah,Unit,Flat,1680590.00,74.85,74.85,1 B/R,1,,,,1,1,,Ocean Point
102-29191-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Madinat Dubai Almelaheyah,Unit,Flat,1642370.00,73.26,73.26,1 B/R,1,,,,1,1,,Ocean Point
102-29192-2024,21/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI SCIENCE PARK,Unit,Flat,1621000.00,134.10,134.10,2 B/R,1,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,1,1,,Opalz By Danube
102-29193-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI HARBOUR,Unit,Flat,3075000.00,81.17,81.17,1 B/R,1,,,,2,1,,Grand Bleu Tower interiors by Elie Saab
102-29194-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BUSINESS BAY,Unit,Flat,1000000.00,66.34,66.34,1 B/R,1,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,1,1,,Regalia
102-29195-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flat,850000.00,89.10,89.10,1 B/R,1,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,1,,Binghatti Azure
102-29196-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flat,530000.00,31.81,31.81,Studio,1,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,1,,Binghatti Azure
102-29197-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE TRIANGLE,Unit,Flat,1200000.00,81.64,81.64,1 B/R,1,Damac Properties,Marina Mall,Sports City Swimming Academy,1,1,,Bali Residences
